Time,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-38-0f-66,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-3f-fe-87,00-17-0d-00-00-3f-fe-88
2016-09-09T21:00:00.000Z,32.1622222222,36.2988888889,34.39,33.5675,35.2822222222
2016-09-09T21:10:00.000Z,31.25,35.6194736842,33.2115789474,33.0625,34.3789473684
2016-09-09T21:20:00.000Z,30.5295,34.6005,32.4605,32.4094444444,33.6826315789
2016-09-09T21:30:00.000Z,29.9221052632,34.2815789474,31.7547368421,32.2894736842,33.3785
2016-09-09T21:40:00.000Z,28.6865,33.0584210526,30.287,31.2935,32.0636842105
2016-09-09T21:50:00.000Z,26.8578947368,30.9475,28.2377777778,29.7405263158,30.1835
2016-09-09T22:00:00.000Z,24.2421052632,28.7110526316,25.2457894737,28.0147368421,27.8110526316
2016-09-09T22:10:00.000Z,20.5685,24.9357894737,21.257,25.0095,24.4231578947
2016-09-09T22:20:00.000Z,18.2363157895,22.258,18.4473684211,22.4989473684,21.9945
2016-09-09T22:30:00.000Z,16.6305263158,20.609,17.1457894737,20.6142105263,20.262
2016-09-09T22:40:00.000Z,15.0973684211,19.2421052632,15.8031578947,19.2555,19.1573684211
2016-09-09T22:50:00.000Z,13.803,17.7015789474,14.9765,17.9047368421,18.0021052632
2016-09-09T23:00:00.000Z,13.5136842105,17.1,14.3895,17.4552631579,17.5985
2016-09-09T23:10:00.000Z,12.347,16.4363157895,13.122,16.5295,16.64
2016-09-09T23:20:00.000Z,11.706,15.6635,12.2475,15.714,15.9326315789
2016-09-09T23:30:00.000Z,11.2205263158,15,11.7994736842,15.1184210526,15.297
2016-09-09T23:40:00.000Z,10.81,14.5094736842,11.235,14.6265,14.9794736842
2016-09-09T23:50:00.000Z,10.4278947368,14.2766666667,11.0052631579,14.2842105263,14.7727777778
2016-09-10T00:00:00.000Z,10.323,14.3515,10.9163157895,14.1442105263,14.281
2016-09-10T00:10:00.000Z,10.5889473684,14.6063157895,11.2168421053,14.3625,14.5705555556
2016-09-10T00:20:00.000Z,10.617,14.659,11.034,14.4231578947,14.555
2016-09-10T00:30:00.000Z,10.6642105263,14.1347368421,10.7694736842,14.4231578947,14.6915789474
2016-09-10T00:40:00.000Z,10.6747368421,13.6321052632,10.6131578947,14.0815789474,14.4835
2016-09-10T00:50:00.000Z,9.845,13.1821052632,10.182,13.59,13.9105263158
2016-09-10T01:00:00.000Z,9.062,12.438,9.3085,12.9152631579,13.0115
2016-09-10T01:10:00.000Z,8.8495,12.2042105263,9.2105,12.4905,12.7221052632
2016-09-10T01:20:00.000Z,8.195,12.1225,8.5057894737,12.0331578947,12.2145
2016-09-10T01:30:00.000Z,7.8784210526,12.1947368421,8.2031578947,11.8175,11.858
2016-09-10T01:40:00.000Z,8.0268421053,12.2257894737,8.3257894737,12.0916666667,12.3878947368
2016-09-10T01:50:00.000Z,7.728,12.0015789474,8.0415,11.9915,12.0326315789
2016-09-10T02:00:00.000Z,7.3683333333,11.9995,7.6752631579,11.7457894737,11.5215789474
2016-09-10T02:10:00.000Z,7.0868421053,11.3594736842,7.2677777778,11.2175,11.0545
2016-09-10T02:20:00.000Z,7.1275,11.5172222222,7.497,11.208,11.146
2016-09-10T02:30:00.000Z,7.6536842105,11.462,7.6068421053,11.4663157895,11.4915
2016-09-10T02:40:00.000Z,7.2427777778,11.0188888889,7.359,11.1165,10.9836842105
2016-09-10T02:50:00.000Z,7.341,10.8894736842,7.5095,11.1352631579,10.9847368421
2016-09-10T03:00:00.000Z,7.25,10.7295,7.4052631579,11.0035,10.9635
2016-09-10T03:10:00.000Z,6.67,10.1494736842,6.9005,10.4955,10.3535
2016-09-10T03:20:00.000Z,6.2821052632,9.855,6.1852631579,10.0115789474,10.1384210526
2016-09-10T03:30:00.000Z,6.2015,10.1166666667,6.4655555556,10.048,10.211
2016-09-10T03:40:00.000Z,6.558,10.3642105263,6.679,10.3125,10.5347368421
2016-09-10T03:50:00.000Z,7.0747368421,10.6175,6.8673684211,10.8668421053,10.739
2016-09-10T04:00:00.000Z,7.7985,11.0921052632,7.124,11.309,11.4126315789
2016-09-10T04:10:00.000Z,8.4789473684,11.594,7.8089473684,12.0110526316,12.011
2016-09-10T04:20:00.000Z,8.4257894737,11.6710526316,8.1573684211,12.2955,11.838
2016-09-10T04:30:00.000Z,8.003,11.4231578947,8.264,11.8626315789,11.4657894737
2016-09-10T04:40:00.000Z,7.7821052632,11.2495,8.2861111111,11.8105555556,11.1465
2016-09-10T04:50:00.000Z,8.0225,11.4989473684,8.3935,11.9805,11.4347368421
2016-09-10T05:00:00.000Z,8.2747368421,11.655,8.8410526316,12.2584210526,11.7447368421
2016-09-10T05:10:00.000Z,8.4252631579,11.9363157895,8.883,12.4495,11.9589473684
2016-09-10T05:20:00.000Z,8.5545,12.0815,8.67,12.5810526316,11.96
2016-09-10T05:30:00.000Z,8.4478947368,12.02,8.7189473684,12.429,11.949
2016-09-10T05:40:00.000Z,8.2968421053,11.7463157895,8.5278947368,12.214,11.6268421053
2016-09-10T05:50:00.000Z,8.083,11.675,8.4575,12.0205,11.4026315789
2016-09-10T06:00:00.000Z,7.9526315789,11.4863157895,8.2589473684,11.9157894737,11.178
2016-09-10T06:10:00.000Z,7.6565,11.0915789474,7.946,11.7365,10.9515789474
2016-09-10T06:20:00.000Z,7.46,10.9825,7.8763157895,11.64,10.821
2016-09-10T06:30:00.000Z,7.4705263158,10.983,7.6857894737,11.4005,10.8026315789
2016-09-10T06:40:00.000Z,7.169,10.649,7.614,11.1984210526,10.5142105263
2016-09-10T06:50:00.000Z,7.0010526316,10.4605263158,7.5063157895,11.1236842105,10.4755
2016-09-10T07:00:00.000Z,6.8525,10.5357894737,7.3275,10.902,10.3736842105
2016-09-10T07:10:00.000Z,7.0326315789,10.434,6.9789473684,11.1242105263,10.556
2016-09-10T07:20:00.000Z,6.9347368421,10.5463157895,7.0910526316,10.861,10.374
2016-09-10T07:30:00.000Z,6.8615,10.517,7.187,11.0057894737,10.2884210526
2016-09-10T07:40:00.000Z,6.78,10.323,6.9226315789,10.7805263158,10.2605
2016-09-10T07:50:00.000Z,6.639,10.15,6.6685,10.5875,10.1815789474
2016-09-10T08:00:00.000Z,6.6794736842,9.927,6.3531578947,10.6421052632,10.251
2016-09-10T08:10:00.000Z,6.8084210526,10.0652631579,6.5331578947,10.658,10.1826315789
2016-09-10T08:20:00.000Z,6.5185,10.018,6.646,10.4715789474,9.9263157895
2016-09-10T08:30:00.000Z,6.7115789474,10.0963157895,6.6773684211,10.5894736842,10.18
2016-09-10T08:40:00.000Z,6.4565,10.0385,6.637,10.4273684211,10.0752631579
2016-09-10T08:50:00.000Z,6.1015789474,9.54,6.3647368421,9.9457894737,9.55
2016-09-10T09:00:00.000Z,6.1657894737,9.4757894737,6.32,10.0185,9.6755555556
2016-09-10T09:10:00.000Z,6.375,9.855,6.7425,10.3652631579,9.8831578947
2016-09-10T09:20:00.000Z,6.7957894737,10.2784210526,6.88,10.6575,10.2815
2016-09-10T09:30:00.000Z,6.8525,10.3957894737,6.943,10.8505,10.46
2016-09-10T09:40:00.000Z,6.751,10.221,6.8336842105,10.7295,10.2825
